name_index,semester1,semester2,semester3,semester4,semester5,semester6,semester7,semester8,semester1_result,semester2_result,semester3_result,semester4_result,semester5_result,semester6_result,semester7_result,semester8_result,isBackLogPresent1,isBackLogPresent2,isBackLogPresent3,isBackLogPresent4,isBackLogPresent5,isBackLogPresent6,isBackLogPresent7,isBackLogPresent8,overall_result
91,593,477,582,493,561,556,606,685,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0
92,571,505,554,683,481,562,487,557,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
93,630,498,641,568,568,577,680,757,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0
94,556,509,575,614,601,601,581,544,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0
95,564,477,479,522,495,534,447,517,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0
96,446,403,522,483,521,528,508,702,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0
97,466,562,723,689,666,659,509,601,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1
98,510,494,597,571,604,609,501,568,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0
99,615,561,648,605,717,741,578,754,1,1,0,1,1,1,0,1,0,0,1,1,0,0,1,0,1
100,600,399,484,404,371,375,481,484,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0
101,596,557,661,705,645,663,543,611,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1
102,558,495,595,561,542,572,445,736,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0
103,500,626,733,711,627,563,451,462,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1
104,602,496,557,518,503,570,328,358,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0
105,503,568,644,590,709,635,495,705,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,1
106,649,678,848,864,774,727,490,568,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1
107,579,521,599,501,492,562,453,357,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0
108,444,359,451,398,394,381,611,774,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0
109,619,447,564,488,500,517,501,506,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
110,659,379,451,369,340,385,605,668,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0
111,355,541,646,601,777,752,467,460,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1
112,527,612,727,590,614,633,530,708,1,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0,1
113,645,352,491,468,396,511,489,590,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
114,541,486,598,584,529,541,558,672,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1
115,509,490,591,534,489,568,495,572,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0
116,481,489,593,597,559,590,594,727,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0
117,574,443,543,483,468,532,580,791,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0
118,435,451,595,512,289,462,472,514,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
119,573,306,393,223,307,307,671,763,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0
120,550,467,524,470,537,554,443,532,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0
121,565,512,663,565,524,518,607,715,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0
